# なんJ語・掲示板文化 (5ちゃんねる なんでも実況J系)
#
# フォーマット: 読み<TAB>単語<TAB>優先度
#   読み   : ひらがな
#   単語   : 変換先の表記
#   優先度 : 整数。同じ読みに複数行あるとき、大きい方が候補の前に出る
#            (同点なら書いた順)
#
# 「もともと存在する読みの1位が不自然な誤変換になっている」バグ修正
# (やな→梁、わい→沸い 等) はここには置かない -- あれはパックを入れない
# 人にとっても直っているべきものなので、KanaKanjiConverter.ets の
# DICTIONARY 本体に直接ある。ここに置くのは「もともと候補が無かった/
# 薄かった」純粋な追加語彙だけ。
わいし	ワイ氏	10
おおくさはら	大草原	10
ぐうせい	ぐう聖	10
ぐうあく	ぐう悪	10
しゃかいてきにしんだ	社会的に死んだ	10
おきもちひょうめい	お気持ち表明	10
がばる	ガバる	10
ゆるしてくれめんす	許してクレメンス	10
よすれ	良スレ	10
とうとしぬ	尊死	10
もうこべん	猛虎弁	10
